# TABLE 1  Fit parameters for photoionization cross sections from Verner+1996, ApJ, 465, 487.
# Energies are in eV, sigma in Mb = 1e-18 cm2
Element Ion      Z  N   Eth      Emax      E0     sigma0    ya        P        yw       y0       y1  Notes
Ar      5       18 14 7.502e+1 3.200e+2 1.031e+1 9.946e+0 7.444e+1 6.261e+0 4.885e-1 6.406e+0 3.659e-3 C
Ar      6       18 13 9.101e+1 3.426e+2 5.440e-1 1.080e+0 9.419e+2 7.582e+0 1.107e+1 1.700e+2 1.587e+1 C
Ar      7       18 12 1.243e+2 3.667e+2 2.966e-2 3.693e+0 9.951e+3 7.313e+0 1.363e-2 4.383e-4 2.513e+0 C
Ar      8       18 11 1.435e+2 3.925e+2 3.884e+0 3.295e+1 7.082e+2 4.645e+0 0.000e+0 0.000e+0 0.000e+0 B
Ar      9       18 10 4.225e+2 3.361e+3 1.926e-1 8.279e-1 2.392e+2 1.121e+1 1.434e+0 3.814e+1 4.649e+0 C
Ar      10      18  9 4.787e+2 3.446e+3 1.040e+1 8.204e+0 1.495e+1 1.115e+1 9.203e-4 3.804e+1 6.390e-1 C
Ar      11      18  8 5.390e+2 3.523e+3 1.257e-1 1.760e+3 1.579e+3 6.714e+0 1.975e+0 3.286e-3 3.226e-1 C
Ar      12      18  7 6.183e+2 3.613e+3 5.310e+0 7.018e-1 1.001e+2 8.939e+0 4.987e-1 1.099e+2 2.202e-1 C
Ar      13      18  6 6.861e+2 3.702e+3 3.209e-1 2.459e-2 2.285e+3 8.810e+0 6.692e-1 2.068e+3 2.113e+1 C
Ar      14      18  5 7.558e+2 3.798e+3 1.557e+0 4.997e-2 5.031e+2 8.966e+0 2.938e-1 4.552e+2 6.459e+0 C
Ar      15      18  4 8.548e+2 3.898e+3 1.888e+1 2.571e+4 1.475e+0 2.634e+1 2.909e+1 2.445e-2 1.054e-2 C
Ar      16      18  3 9.180e+2 3.988e+3 4.154e+1 2.135e+1 4.118e+1 4.945e+0 0.000e+0 0.000e+0 0.000e+0 B
Ar      17      18  2 4.121e+3 5.000e+4 4.468e+2 3.108e+1 3.039e+1 2.092e+0 0.000e+0 0.000e+0 0.000e+0 B
Ar      18      18  1 4.426e+3 5.000e+4 1.399e+2 1.690e+2 3.288e+1 2.963e+0 0.000e+0 0.000e+0 0.000e+0 A
Ca      1       20 20 6.113e+0 3.443e+1 1.278e+1 5.370e+5 3.162e-1 1.242e+1 4.477e-1 1.012e-3 1.851e-2 Ee
Ca      2       20 19 1.187e+1 4.090e+1 1.553e+1 1.064e+7 7.790e-1 2.130e+1 6.453e-1 2.161e-3 6.706e-2 Ebe
Ca      3       20 18 5.091e+1 3.731e+2 2.436e+1 3.815e+1 2.931e+2 3.944e+0 3.126e-1 1.802e+0 1.233e+0 E
Ca      4       20 17 6.727e+1 3.944e+2 4.255e+0 7.736e+0 1.355e+1 1.236e+1 1.369e+0 1.467e+1 3.298e-2 C
Ca      5       20 16 8.451e+1 4.175e+2 6.882e-1 1.523e-1 1.502e+2 1.061e+1 8.227e+0 1.210e+2 3.876e+0 C
Ca      6       20 15 1.088e+2 4.423e+2 9.515e+0 7.642e+1 8.973e+1 5.141e+0 2.471e+0 4.829e+0 5.824e+0 C
Ca      7       20 14 1.272e+2 4.687e+2 8.080e-1 4.760e-1 3.682e+2 8.634e+0 5.720e-1 1.487e+2 1.283e+0 C
Ca      8       20 13 1.472e+2 4.967e+2 1.366e+0 6.641e-1 3.188e+2 8.138e+0 2.806e-1 1.039e+2 3.329e+0 C
Ca      9       20 12 1.883e+2 5.270e+2 5.520e-2 2.076e+2 1.790e+4 5.893e+0 1.843e-3 2.826e-4 1.657e+0 C
Ca      10      20 11 2.113e+2 5.569e+2 1.605e+1 1.437e+1 6.989e+2 3.857e+0 0.000e+0 0.000e+0 0.000e+0 B
Ca      11      20 10 5.919e+2 4.265e+3 2.288e-1 9.384e-1 2.549e+2 1.103e+1 1.390e+0 2.478e+1 3.100e+0 Cd
Ca      12      20  9 6.572e+2 4.362e+3 2.345e+1 1.227e+1 1.312e+1 9.771e+0 6.842e-4 2.417e+1 5.469e-1 Cd
Ca      13      20  8 7.267e+2 4.453e+3 1.008e+1 1.849e+3 1.792e+4 2.868e+0 2.410e+2 6.138e-3 6.931e+1 C
Ca      14      20  7 8.177e+2 4.555e+3 9.980e+0 1.116e+0 5.918e+1 9.005e+0 3.879e+0 7.104e+1 5.311e+0 C
Ca      15      20  6 8.946e+2 4.659e+3 1.309e+2 5.513e+1 3.828e+2 2.023e+0 9.084e-2 1.833e-2 9.359e-1 C
Ca      16      20  5 9.745e+2 4.767e+3 4.293e+0 1.293e+0 1.691e+1 1.438e+1 3.461e-5 9.363e-1 4.589e-2 C
Ca      17      20  4 1.087e+3 4.880e+3 2.618e+1 2.028e+4 1.456e+0 2.560e+1 2.803e+1 2.402e-2 9.323e-3 C
Ca      18      20  3 1.157e+3 4.982e+3 9.472e+1 1.105e+1 3.818e+1 4.192e+0 0.000e+0 0.000e+0 0.000e+0 B
Ca      19      20  2 5.129e+3 5.000e+4 6.297e+2 1.936e+1 3.921e+1 1.862e+0 0.000e+0 0.000e+0 0.000e+0 B
Ca      20      20  1 5.470e+3 5.000e+4 1.729e+2 1.369e+2 3.288e+1 2.963e+0 0.000e+0 0.000e+0 0.000e+0 A
Fe      1       26 26 7.902e+0 6.600e+1 5.461e-2 3.062e-1 2.671e+7 7.923e+0 2.069e+1 1.382e+2 2.481e-1 Ee
Fe      2       26 25 1.619e+1 7.617e+1 1.761e-1 4.365e+3 6.298e+3 5.204e+0 1.141e+1 9.272e+1 1.075e+2 Ee
Fe      3       26 24 3.065e+1 8.705e+1 1.698e-1 6.107e+0 1.555e+3 8.055e+0 8.698e+0 1.760e+2 1.847e+1 De
