 f1,f2,f3,lgn,   lgT,    lgZ, F_n2_10,F_n2_21,   F_c2, F_c1_10,F_c1_21, F_o1_10,F_o1_21,F_o1_op,F_o3_10,F_o3_21,   F_ha,   F_hb,   F_hg,  F_o3_32,F_o3_31,F_o3_43,F_o2_10,F_o2_20, F_n2_31,F_n2_32,  F_s2_a, F_s2_b,F_he1_a,F_he1_b,  F_n3
 F,F,ok,1.750, 4.000,  0.400,  -3.775, -3.382,  -3.071, -7.446, -8.369,  -5.557, -4.555, -4.080, -1.359, -1.501,  -1.970, -2.434, -2.764,  -1.008, -1.483, -3.205, -1.853, -2.002,  -2.685, -2.215,  -2.589, -2.722, -4.169, -3.736, -1.850
 F,F,ok,1.750, 4.500,  0.400,  -1.529, -1.157,  -0.743, -5.568, -6.494,  -5.327, -4.302, -3.778, -1.191, -1.308,  -1.566, -2.131, -2.497,  -0.236, -0.712, -1.475,  0.317,  0.168,  -0.717, -0.244,  -0.821, -0.949, -3.827, -3.236, -0.991
 F,F,ok,1.750, 5.000,  0.400,  -3.504, -3.168,  -2.698, -8.305, -9.225,  -7.974, -6.867, -6.567,  0.340,  0.426,  -2.004, -2.595, -2.986,   0.425, -0.054, -0.553, -2.179, -2.324,  -3.185, -2.712,  -3.449, -3.570, -4.325, -3.791, -0.222
 F,F,ok,2.000, 1.500,  0.400,  -5.014, -5.605,  -4.702, -7.653, -8.068,  -7.226, -6.405, -9.680, -4.898, -6.107,  -1.424, -1.943, -2.294,  -8.100, -8.575, -8.643,-12.021,-12.038,  -5.933, -5.463,  -7.205, -6.819, -3.647, -3.183, -5.758
 F,F,ok,2.000, 2.000,  0.400,  -4.313, -3.919,  -3.720, -7.314, -7.945,  -6.993, -6.154, -9.445, -3.120, -3.892,  -1.411, -1.928, -2.278,  -7.587, -8.062, -8.196,-11.703,-11.680,  -5.774, -5.304,  -6.367, -6.302, -3.621, -3.157, -3.632
 F,F,ok,2.000, 2.500,  0.400,  -4.189, -3.521,  -3.589, -7.528, -8.350,  -6.637, -5.650, -9.312, -2.204, -2.321,  -1.415, -1.926, -2.274,  -6.870, -7.345, -7.562,-11.460,-11.473,  -5.806, -5.337,  -6.040, -6.124, -3.615, -3.153, -2.572
 F,F,ok,2.000, 3.000,  0.400,  -4.064, -3.381,  -3.327, -7.602, -8.498,  -6.206, -5.136, -9.259, -1.688, -1.685,  -1.457, -1.956, -2.299,  -6.425, -6.900, -7.149,-11.323,-11.376,  -5.871, -5.401,  -6.155, -6.292, -3.648, -3.192, -2.121
 F,F,ok,2.000, 3.500,  0.400,  -3.912, -3.301,  -3.086, -7.579, -8.508,  -5.752, -4.636, -6.632, -1.377, -1.406,  -1.551, -2.031, -2.367,  -3.578, -4.053, -6.912, -5.139, -5.244,  -4.377, -3.907,  -4.145, -4.234, -3.737, -3.293, -1.855
 F,F,ok,2.000, 4.000,  0.400,  -3.751, -3.213,  -3.030, -7.445, -8.386,  -5.337, -4.329, -3.847, -1.171, -1.243,  -1.720, -2.185, -2.514,  -0.756, -1.232, -2.954, -1.617, -1.746,  -2.437, -1.967,  -2.357, -2.470, -3.919, -3.485, -1.633
 F,F,ok,2.000, 4.500,  0.400,  -1.488, -0.998,  -0.679, -5.578, -6.523,  -5.100, -4.073, -3.530, -0.982, -1.047,  -1.319, -1.883, -2.249,   0.019, -0.458, -1.220,  0.555,  0.419,  -0.470,  0.003,  -0.584, -0.699, -3.548, -2.926, -0.770
